title_target,pkg_name,title_all,description,matched
Rippton Drone,com.rippton.zywl.drone,Rippton Drone,Bait Dropping Drone,True
Drone Go2,com.hs.dronego,Drone Go2,Data read and write application operation of Holy Stone UAV RID equipment,True
RUKO DRONE,com.vison.macrochip.ruko.drone,RUKO DRONE,An app we can control a quadcopter to fly with a WiFi camera module,True
WK Fly,org.mavlink.WKFurious,WK Fly,An application for communicating with Walkera aircraft,True
RC FPV,com.cooingdv.rcfpv,RC FPV,RC FPV uses high-definition image transmission to control the quadcopter.,True
TRB FPV,com.lcfld.trbfpv,TRB FPV,The application is used to connect and operate the drone.,True
BZR DRONE,com.bzrufo.rxdrone,BZR DRONE,BZR DRONE is an APP specifically designed to connect BZR drones,True
HR WIFI,com.hrwifi.rxdrone,HR WIFI,"This is a remote control app that controls the drone, which can replace the function of the remote control and save the video to the phone.",True
MIDRONE 420,com.netopsun.midrone420,MIDRONE 420,MIDRONE VISION 420 can control the aircraft by WiFi of the Android smartphone.,True
KAI FLY,com.rxdrone.gpskai,KAI FLY,Connect and control the aircraft via WIFI.,True
Fly Go 4: Drone Controller App,org.milkyapps.djicontroller,Fly Go 4: Drone Controller App,Drone Controller for 40+ DJI? Models. Unlock full potential of your DJI? drone,True
Smart Drone,com.guanxu.technology.my_drone,Smart Drone,This APP can control the aircraft by WiFi of the Android smartphone.,True
DRONI,com.garudaaerospace.DRONI,DRONI,DRONI APP,True
Vivitar Folding Drone,com.guanxu.technology.vivitar_folding_drone,Vivitar Folding Drone,Control the aircraft through the WiFi of the Android smartphone.,True
Rippton Drone,com.rippton.zywl.drone,Rippton Drone,Bait Dropping Drone,True
Loona,com.keyitech.loona,Loona,"PetBot - A Pet, A Robot, A Friend",True
Cyber Robot,it.clementoni.robot,Cyber Robot,Discover the principles of Robotics and programming with Cyber Robot!,True
Apitor Kit,com.robot.apitor,Apitor Kit,"Build, control, code",True
Yahboom Robot,com.yahboomrobot,Yahboom Robot,A Fantastic App For Robot Control From Yahboom,True
SenseRobot,com.senserobot.chessintl,SenseRobot,"Game,accompany,eye protection",True
AIRO,it.clementoni.robot.airo,AIRO,AIRO - Artificial Intelligence Robot,True
UGOT,com.ubtechinc.ugot,UGOT,This is an app used with UGOT modular robots.,True
Meteer,com.robot.meteer,Meteer,This is a control tool for the Meteer robot,True
XGO,com.luwu.xgo_robot,XGO,Quadruped robot XGO controller,True
Robooter,com.bangbangrobotics.banghui.google,Robooter,Bangbang Robot,True
AlphaMini,com.ubtechinc.alpha.mini.edu,AlphaMini,"Robot programming, robot control, account management and robot information.",True
Rapidpower,com.zhongrun.robotdog,Rapidpower,Rapidpower for controlling smart Bluetooth robotic dog toys,True
Power Pong Robot,org.powerpong.robot,Power Pong Robot,Create and run table tennis drills with the Power Pong robot!,True
Wolf-e Robotics Platform,com.wolfe.robotics,Wolf-e Robotics Platform,Control and manage Wolf-e Robotics devices,True
Revolution Robotics,org.revolutionrobotics.robotcontroller,Revolution Robotics,"Build, Sync, Transform and Command Your Robotics in a Flash!",True
Robot CRX FANUC,com.crx.fanuc,Robot CRX FANUC,"Even before your cobot is delivered to your company, the CRX FANUC app guides you through a new automation experience through a series of initiation modules:
-Discovery of the CRX cobot
- Unpacking and starting your cobot
- Step-by-step learning, in video, of the different functionalities
Le Fil dActu is regularly fed with articles or videos concerning the latest developments and updates of the CRX cobot. Don't forget to activate notifications to be informed in preview!
Lacking inspiration to increase your productivity and guarantee the well-being of your employees? The Practical Cases section will certainly give you ideas thanks to the feedback from our customers.
Among the other features of the CRX FANUC app, you will also find:
-Technical documentation
-The catalog of accessories compatible with the CRX
-Information on the CRX Expert training
-CRX-related events (fairs, webinars, technical days)
So don't wait any longer to join the CRX FANUC user community!",True
Marlin,it.centrosistemi.marlin,Marlin,"Marlin, the revolutionary wireless & autonomous pool-cleaning robot!!",True
Robotberry,com.aifarm.robotberry,Robotberry,An offline robot controller app,True
NiteAura,com.Linkface.NiteAura,NiteAura,NiteAura - Smart Sleep Tracking & ComfortAir Mask Control,True
Bioservo,com.bioservo.biocloud.app,Bioservo,"The Bioservo app is used to manage?the grip-strengthening gloves Ironhand and Carbonhand from Bioservo Technologies.
In the app, you can?customize?the gloves according to the user's needs and keep track of your Ironhand systems.
Functions for Carbonhand
When using Carbonhand, the Bioservo app is used to customize the glove for a specific user.
The main features are:
- Calibrating the glove to fit the users hand.
- Configure features like responsiveness, force and stickiness, as well as linking sensors to different fingers, all of which can be saved in profiles to be used for different tasks.
- Assign profiles to the three slots in the physical user interface.
- Activate/deactivate the Lock assist function.
- Enable an external button for activating the glove.",True
Shift Robotics,com.shiftrobotics.android,Shift Robotics,AI-enhanced mobility,True
Bioservo Carbonhand App,com.bioservo.app,Bioservo Carbonhand App,"Carbonhand is an innovative and user-friendly grip enhancing glove. This app is designed to be used with this glove in order to tailor its functionality to suit the wearer's needs. In the app, you can find presets and also create your own settings. The app can only be used together with the Carbonhand from Bioservo. To learn more, visit: http://www.bioservo.com",True
Remote Control App for ALLUX2,com.companyname.ALLUXRemoteController,Remote Control App for ALLUX2,"Using this app, You can easily switch to 5 different walking modes.",True
Cockpit,com.ottobock.prosthetics.ll.cockpit,Cockpit,Adjust prostheses and orthoses,True
Robot Assist,com.abb.robotassist,Robot Assist,Get easy access to ABB cobot resources.,True
Unitree Go,com.unitree.doggo2,Unitree Go,Unitree Go is an exclusive App for consumer-level robotdog,True
Arm Robot Control Makerslab,appinventor.ai_makerslabfablab.Arm_Robot_Control,Arm Robot Control Makerslab,Control your 6-motor Robotic Arms with Arduino and Bluetooth,True
ABB Infoservice,com.abb.infoservice,ABB Infoservice,ABB Robots Management,True
ST Robotics,com.st.robotics,ST Robotics,ST Robotics Application for scanning and controlling robotic kits.,True
Carle,com.ihunuo.jtlrobot,Carle,This is an App that controls robots through mobile phones,True
Rapidpower,com.zhongrun.robotdog,Rapidpower,Rapidpower for controlling smart Bluetooth robotic dog toys,True
WonderROS,com.hiwonder.wonderros,WonderROS,"This app is used to control Hiwonder's robots,support AiNex,ROSLander,ROSpug,ROSpider",True
Wonderbot,com.Wonder.bot,Wonderbot,"This app is used to control hiwonder robots, such as H5S,xArm,Spiderbot,MaxArm",True
