title,label,description,realInstalls,score,ratings,reviews,released,lastUpdatedOn,version,released_ym
Robot Admin,1,"Management tool for OrionStar Lucki bots.

Lucki robots are widely used in restaurants, supermarkets and hotels.

It can deliver meals and attract customers.

﻿﻿﻿The work efficiency report of the robot is clear at a glance

﻿﻿﻿Remote call, one-key direct.

﻿﻿﻿Media configuration to fully personalize your robot.",340.0,,,,"Apr 14, 2025",,Varies with device,2025-04
YEEDI,1,"The yeedi App is the official App for the yeedi robot vacuum products.
Connect to the yeedi App for a smart lifestyle, enabling remote robot control and access to more features:
• Watch cleaning status: View robot's status, power, errors, solutions, cleaning logs, and accessories usage.
• Switch cleaning modes: Different cleaning modes for various scenarios such as whole house, room, and specific areas.
• Adjust cleaning settings: The robot's vacuum power and water level can be customized to meet different cleaning needs.
• Edit cleaning map: The intelligent robot automatically creates and continuously updates the cleaning map, allowing you to view the robot's cleaning path in real-time, as well as       manage and edit the map and other features.

There are even more advanced features available, such as scheduled cleaning, customized setting by room, OMNI station features, and various cleaning preference settings. Go ahead and download the App to explore now.

Important Note: The above features may not be applicable to all models. Please refer to the product instruction manual for specific details.

Official Store: Search for ""yeedi robot"" on online shopping platforms.
Official Website: http://www.yeedi.cn",,4.92778,15689.0,15689.0,2020-05-19T07:00:00Z,2025-08-07T16:33:25Z,1.4.7,2020-05
obode Life,1,"obode robot app helps you to release your hands from housework. You can control you robot via app to get started, go back to docking station, Scheduling or other controls.",,4.66667,3.0,3.0,2022-01-27T08:00:00Z,2024-01-29T05:46:42Z,2.3.0,2022-01
Robot Vacuum App,1,"The classic iRobot Home App is compatible with older Roomba®, Braava® and Klaara™ products, including Roomba® or Roomba Combo® e, i, s, m, j, Essential, Essential 2, and 10 Max series robots. For other Roomba® models, please download the Roomba® Home app.\r\n\r\nTake control of cleaning your home with the classic iRobot Home app. The easy-to-use app offers enhanced maps, room, zone and object-specific cleaning, customized scheduling, personalized cleaning suggestions, and simple smart home integrations with Alexa, Siri, and Google Assistant-enabled devices*, all designed to make sure you get the most out of your iRobot floor cleaning robots. Feature availability varies by model.\r\n\r\n*Works with Alexa, Siri, and Google Assistant-enabled devices. Alexa and all related logos are trademarks of Amazon.com or its affiliates. Google and Google Home are trademarks of Google LLC. Siri is a registered trademark of Apple Inc., registered in the U.S. and other countries and regions."",",13333894.0,4.020065,180066.0,21756.0,2015-09-16 00:00:00,2025-12-04 00:00:00,,2015-09
Gausium Mobile,1,"Gausium Mobile App is a mobile application connecting Gausium robot products. It can connect all robots of product series. Through app, you can complete the remote control of the robot and view the running status, data and other information of the robot.
「news」
When the robot triggers a health warning and generates a task report, it will push messages to the app in real time through the cloud. Users can view the messages of all robots under their name in real time, and learn the robot abnormalities at the first time.
「Remote control」
Users can detect the running state of the machine anytime and anywhere, remotely control the robot, and view the current position and cleaning information of the robot in real time.
「Go there」
Users can remotely control the machine to a certain location, such as going to the charging point for recharging and waiting at the end of the task.

「Task data」
Users can view the historical operation data of the machine, the cumulative working hours, cleaning area and cleaning times, as well as the report of each task.
「Contact us」
Customer service telephone numbers：400-888-3065
Mailbox：
info@gs-robot.com （Chinese Mainland）
techsupport@gs-robot.com（Other areas outside Chinese mainland）",,5.0,1.0,1.0,2021-09-02T07:00:00Z,2025-12-18T17:57:52Z,2.0.2,2021-09
Tennant Robotics,1,"Tennant Company, a global leader in designing, manufacturing, and marketing solutions that help create a cleaner, safer, healthier world now offers the Tennant Robotics app, powered by Brain Corp’s cutting-edge AI technology. The Tennant Robotics app pairs with your Tennant robotic machines to monitor and manage your robotic cleaning fleet with ease. Stay informed with push notifications when cleaning routes are completed or when your machines require assistance. The Tennant Robotics app helps you gain insights into cleaning performance with current and historical trend data, ensuring your machines operate at peak efficiency. Tennant robotics combines Tennant’s trusted legacy in cleaning with Brain Corp’s innovative AI solutions to revolutionize floor care operations.",,4.82558,86.0,86.0,2024-10-23T07:00:00Z,2025-12-10T23:50:05Z,1.15.0,2024-10
Nilfisk Robotics,1,"5 Minutes is all it takes for anyone to become a cleaning superhero!

Control multiple, unique Robots—with just the touch of a button. All robots can work together and split the tasks to get the work done faster making sure you never have to worry about cleaning floors again!

Each Robot is connected online to get real time updates. Check & setup your cleaning schedule, get analytics of cleaning done and control your entire robot from the palm of your hand!",,0.0,0.0,0.0,2024-08-20T07:00:00Z,2025-09-15T03:09:48Z,4.4.0,2024-08
Bluebot Robotics,1,"The Bluebot Robotics Robot Vacuum APP is a mobile application that connects to Bluebot Robotics robot products. 

Users can replace the traditional remote control with APP, remote control the robot to clean, dock to charge, etc.

Equipment control, support direction control, cleaning preferences settings, etc.

Time Schedule, clean at any time within a week.

Equipment positioning, can view the data of cleaning area and cleaning time.

Support personalized settings of device name, time calibration, deleting equipment, etc.

If you have any questions or suggestions during use, please contact us by email，Mail address:  support@blaupunktrobotics.eu",23057.0,0.0,0.0,0.0,"May 5, 2018",,Varies with device,2018-05
Guide for Mi Robot Vacuum Mop,1,"Guide for Mi Robot Vacuum Mop app



In this guide app for Mi Robot Vacuum mop, the features of the device, how to setup and use it, routine maintenance and solutions to potential problems are explained.



When the Xiaomi robot vacuum-mop is cleaned in the mode you set, it automatically returns to the charging slot to recharge.



The Xiaomi Mi Robot vacuum mop is only for floor cleaning in a home environment. Do not use outdoors, on unfloored surfaces, in a commercial or industrial environment. You can control your device by pairing it with Amazon Alexa and Google Assistant. Mi Robot scans the home environment while on the go, allowing the creation of a cleaning plan.







This guide application provides quite good information regarding connect with mi home xiaomi home app and installing accessories for desired mode, below is a summary description of the product.



Tangki air 200 ml yang dikendalikan secara elektronik dilengkapi dengan 3 pengaturan ketinggian air, untuk mengendalikan aliran air secara efektif, mencegah rembesan, dan melindungi lantai kayu dan ubin Anda dari kerusakan. Dilengkapi 4 setelan isap untuk berbagai ruangan dan berbagai jenis kotoran.



Mudah menangani segala kotoran, dari benda seukuran kacang polong hingga debu dan rambut. Daya isap merupakan kunci pembersihan. Motor Nidec Jepang memberikan daya isap 2200 Pa* untuk menghilangkan debu lantai dengan cepat dan membersihkan celah secara menyeluruh.













Disclaimer:

This application is unofficial and was created by a group of fans of this product and the purpose of the application is to guide people on how to use the product correctly

The content of this application is not affiliated with, endorsed, sponsored, or specifically approved by any party or organization

All the content in this app is are found in alot of websites and platforms as free and the credit goes to their respective owners. 

No copyright infringement is intended, and any request to remove one of the contents will be honored. We do not claim any rights 

for any content in this application so if you find the content of this app violates copyright or google play policy, please report 

it to us and we will remove it .For more information or request to remove anything, Contact us at:

appscreator2022@gmail.com





If we violate intellectual property rights or copyrights, please contact us by e-mail.

The application will be removed directly",805.0,,,,"Mar 25, 2023",,Varies with device,2023-03
iHome Clean,1,"iHome Clean 



The iHome Clean App gives you full control over your iHome AutoVac



The iHome Clean App will walk you through the steps to connect your iHome AutoVac to your 2.4G Wi-Fi for full access to the iHome Clean App’s Features:



Control iHome AutoVac Cleaning

- Start and Stop Cleaning from Anywhere

- Set your Cleaning Schedule 

- Send your iHome AutoVac back to the Charging Base

- View the Autovac cleaning path with Homemap Technology 

- Control the suction modes with the Hyperdrive Technology 

- View cleaning history - duration and floor area

- Control your iHome AutoVac Manually w/ D-pad control

- Manage Shared Users





Requirements

- Wi-Fi with 2.4GHz band support 

- Autovac Eclipse, Juno, Luna,  Nova, Halo or Orbita



Visit iHomeClean.com for additional Support and Information.",160257.0,2.5,520.0,401.0,"Sep 10, 2020","Oct 29, 2024",4.1.5,2020-09
LEGEE-688,1,"LEGEE-688 App not only supports dynamic control, scheduler and real time map, it also brings floor cleaning robot to a new era by introducing “Talent Clean”.
Talent Clean: Tailor Made Smart.
There are 7 Talent Clean modes: Standard, Strong, ECO, Kitchen, Dry, Pet and Polish. 1 custom mode for your desire settings exploration to serve any special needs.
Standard Mode: Simply the Best.
Standard mode is the perfect fit for any generic use.
The standard mode can serve your general needs, if you don’t know which mode you need, you can try standard mode first.
Strong Mode: Nothing Escapes.
Strong mode is ideal for deep cleaning.
When you want to do some deep cleaning to your floor, strong mode will back you with the maximized vacuum power and highest mopping frequency for best result!
ECO Mode: Go Green!
ECO mode helps to save energy and works quietly.
ECO mode works under low power consumption with the minimum vacuum power and lowest mopping frequency, so you can still have the floor cleaned while enjoying the calm and quiet time.
Kitchen Mode: Clean like a Pro!
Kitchen mode can clean the common spill, splash and stains.
HOBOT exclusive patent. Specialized to clean the stubborn stains we often left behind on the kitchen floor. LEGEE will first divide the area to 1.5m*1.5m and spray generous amount of water to dissolve the stains, then go back to mop and absorb the dissolved stains, the floor will be world-class clean!
Dry Mode: Stay Dry and Clean.
Use Dry mode when cleaning hardwood floor.
Dry mode is suitable for those moisture sensitive hard wood floor, the water spray function is disabled and vacuum power is slightly enhanced with slowed down pace so your floor can still get cleaned well without water. 
Pet Mode: Pet Furiendly.
Pet mode cleans hair and pawprints efficiently.
Cleaning pets’ hair haven’t been easier! Under pet mode, the vacuum power is increased and lower the side brush speed to allow the hairs to be collected without sweeping away them. Also, the increased water spray volume and higher mopping frequency can remove pawprints or stains on the floor. 
Polish Mode: Spotless Squeaky Clean.
Polish mode brings back the bright and shine.
LEGEE will clean the floor by increasing water spray volume and mopping frequency while lowering moving speed to remove old dirt and water marks on the floor, your floor will soon be restored to bright and shine! 
Customized Mode: You Are the Boss.
Feel free to adjust the parameters to suit your special need.
If you have some special needs or just simply curious, you are very welcome to be creative and explore all the possible combinations and build your ultimate cleaning mode! 
Real Time Map
Real Time Map shows the cleaned area simultaneously as LEGEE cleans. You can monitor the coverage and the progress easily.
Cleaning Diary
Cleaning Diary stores the information from past 10 cleaning tasks, including finished map, cleaned area, cleaning duration and if the task was completed.
Schedule Queue 
Schedule Queue is a weekly based scheduler that allows pre-schedule your cleaning plan once a day, there are several Talent Clean modes to choose from.",,1.66667,6.0,6.0,2019-04-04T04:22:06Z,2022-08-15T12:14:30Z,2.032,2019-04
Neabot,1,,,,,,,,,
coredy robot,1,"You can also share Coredy smart home devices with family members, so everyone can control the devices, schedule time and set their own personal preferences for each device. You and your family will enjoy the convenience together from Coredy product."",",80654.0,2.38,280.0,124.0,2019-04-15 00:00:00,2024-05-23 00:00:00,,2019-04
Co-botic,1,"Co-botic App is your home's intelligent hardware management platform. With the Co-botic App, you can complete the convenient and fast interaction between the mobile phone and the intelligent hardware, and realized the interconnection between the smart devices.

You and the smart life, only a distance from the Co-botic App.

Linked control, easy to use

Quickly grasp the addition and operation of devices to achieve interoperability between smart devices.

Personalized customization, as you like

Set up a personalized smart scene according to your own usage habits

Device sharing, fun to pass

Sharing equipment for family and friends, sharing the fun of technology.

Enjoy Co-botic App, Love Co-botic App",3548.0,,,,"Jan 31, 2021",,Varies with device,2021-01
XBOT,1,"This is a data communication that is compatible with balancing cars, scooters, karts, AGVs, and wheelchair APP.APPs via Bluetooth. You can view the details of the vehicle via the app to set the vehicle parameters. The App also has functions such as mall, after-sales service, firmware upgrade."",",73099.0,4.0,146.0,10.0,2021-10-31 00:00:00,,,2021-10
AtBot,1,"The AtBot mobile application is a mobile app that connects to robotic products. Through this app, you can remotely control the robots and check their operational status, data, and other information.",2.0,,,,"Dec 4, 2025",,Varies with device,2025-12
KOKOBOTS,1,"Kokbots is an intelligent tool application designed specifically for robot management and control. Through an intuitive user interface and powerful features, users can view, manage, and control their robot devices anytime, anywhere, improving work efficiency and simplifying operational processes."",",153.0,0.0,0.0,0.0,2025-01-15 00:00:00,,,2025-01
DoniHome,1,"This APP provides users for the DONI intelligent sweeping robot. After purchasing the DONI intelligent sweeping robot, after downloading the APP, you can control the sweeping robot after the registration and registration, and then control the cleaning robot, environment composition, timing cleaning, etc. A series of experiences."",",5749.0,0.0,0.0,0.0,2019-04-19 00:00:00,,,2019-04
Robot iVacuum: Home Cleaning,1,"Make your Vacuum Cleaner become the best house cleaning vacuum you ever had with this app. We offer you the most frequently used features of the Robot, making sure you can control it with some taps.  Enjoying a cup of coffee, watching your favorite shows and managing your Robot vacuum work at the same time.

VACUUM ROBOT  HOME APP

Start, Pause & Send Robot back Home are the basic yet most critical command you can send to robot. The app supports all features it needs for a vacuum robot to work perfectly

SEE HOW YOUR ROBOT IS WORKING

A map that simulates cleaning area, draws a perfect realtime picture of how the robot is doing. Although the picture is not absolutely correct, it does provide some estimations for cleaning activities. 

SCHEDULE TASKS

Simply schedule any tasks, make sure you do not forget to clean your house. On time, on demand, this feature ensures no hassle in your busy days.

CHECK TASK HISTORY

Check how your Vacuum boy work during the time. Do not forget to compliment him!

CHECK ROBOT INFORMATION

Model, Manufacturing Country, Manufacturing Year and many more information of your Vacuum Robot is updated within the app.

DISCLAIMER: This app is not associated with or owned by iRobot Corporation.

We offer different packages for premium: Weekly - $2.99, Monthly - $6.99 auto renewing and Lifetime - $19.9
Policy links:
Privacy Policy: https://sites.google.com/view/hoahuynhmkt/home
Terms of service: https://sites.google.com/view/hoahuynhterms/home",,4.38435,2313.0,2313.0,2022-11-08T08:00:00Z,2024-08-26T18:00:54Z,1.7,2022-11
Teendow,1,"The Teendow Sweeping Robot APP is a mobile phone application that connects the sweeper robot to the smart device products. The user can use the APP to replace the traditional remote control, and remotely control the robot for cleaning and recharging operations.",,3.88889,9.0,9.0,2022-02-09T08:00:00Z,2023-09-26T02:57:42Z,v1.0.1,2022-02
OKP,1,"[Check Routine] 
Check your cleaning task anytime you want, with whole routine record and 
keep your space always clean

[Remote Control] 
Wherever you are, schedule your cleaning task with no worries, enjoy your fresh space when you get home

[Fast update] 
One-click firmware update for better experience

[Customer Service]
Built-in support functions help you solve any problems you may encounter. Purchase our products with no worries. We are sincerely grateful for your support",,2.27049,122.0,122.0,2022-01-19T08:00:00Z,2025-09-25T01:26:11Z,3.2.5,2022-01
GSMART ROBOT,1,"The App is a mobile phone application connected to G·SMART intelligent robot products. It supports sweeping robot products and has powerful remote operation capabilities.\r\n1. You can have a clear view of the cleaning process and cleaning path\r\n2. You can remotely appoint for cleaning, and it cleans up your home without your being around\r\n3. You can set up virtual wall, so it never enters the restricted area\r\n4. You can set up cleaning area, and it cleans the area whereever you want to be cleaned"",",8609.0,0.0,0.0,0.0,2020-08-17 00:00:00,,,2020-08
ILIFEHOME,1,"ILIFEHOME App is a mobile phone application of connecting the intelligent robotic products, which supports the robotic customization products with WIFI function under the ILIFE brand. It can not only replace the traditional remote controller , but also can present more working data that cannot be displayed by the conventional remote controller. Through the APP, the user can remotely control and reserve robots for cleaning while away from home, making you to enjoy smart life anytime, anywhere. Zhiyi Technology has always been committed to the mission of ""make cleaning simpler and make life better"" and uphold the core values of ""customer comes first, sincerity, commitment, excellence and innovation"", so that more people can enjoy technology & beautiful life.",,1.71084,83.0,83.0,2020-07-01T07:00:00Z,2025-06-05T03:45:45Z,1.5.6,2020-07
POWERbot-E,1,"POWERbot-E APP just helps you to release your hands from housework. You can only control you robot vacuum via app, to get started, go back to docking station or other controls.",,1.7,30.0,30.0,2019-09-23T07:00:00Z,2024-09-10T17:32:18Z,2.1.0,2019-09
HG Robots,1,"Through the Hoover  HG Robots App you'll be able to:

• Control your robot in an easy and intuitive way

• Activate the cleaning process from anywhere

• Carry out settings and daily scheduling

• Choose between different cleaning modes",35893.0,,,,"Oct 27, 2023",,Varies with device,2023-10
EXTRAVIS,1,"EXTRAVIS APP is a mobile application developed for EXTRAVIS robot vacuum and mop. Through EXTRAVIS, you can achieve:
Real time viewing of the current status of robots, planning and management of cleaning tasks, remote control of robots, and easy network and device sharing.",,0.0,0.0,0.0,2024-08-26T07:00:00Z,2024-08-27T01:17:13Z,1.0,2024-08
Tuvacs,1,"Our latest App enables you to control your TUVACS robot anytime, anywhere, elevating your cleaning experience to a new level.
*Features may vary by model. Visit tuvacs.com to view the detailed features of your specific model.
Cutting-Edge Software and Hardware:
PreciSense: Precision LIDAR navigation for efficient home cleaning.
Sensient: A sensor matrix ensuring safer movement around your home.
OpticEye: Highly accurate vision-based motion control and navigation.
PercepAI: Artificial intelligence that recognizes and avoids common household objects.
By connecting to your TUVACS robot through the App, you can:
Start, pause, or stop the cleaning process.
Set up a regular cleaning schedule.
Adjust voice reports, suction power, and Do-Not-Disturb settings.
Receive notifications from your Wi-Fi enabled robot.
Share access to your TUVACS robot with friends through multiple accounts.
Get software and firmware updates.
Access instruction manuals, FAQs, and contact customer service.
Requirements:
Wi-Fi support for 2.4 GHz or 2.4/5 GHz mixed bands only.
Contact Us:
E-mail: support@tuvacs.com",,4.0,2.0,2.0,2024-03-28T07:00:00Z,2025-01-10T16:13:26Z,3.0,2024-03
SAMBA ROBOT,1,"SambaLite is a lightweight, modern, and open-source Android client for SMB/CIFS shares (Samba). The goal is to provide a minimalist, reliable, and secure tool that allows users to access SMB shares on their local network - without any unnecessary features, ads, or bloat.\r\n\r\nThe app is designed for tech-savvy users who are looking for a lean, transparent solution and value privacy and open source.\r\n\r\nMain features:\r\n\r\n• Manage connections: Enter SMB server (hostname or IP) and share/path, username, password, optional domain (workgroup)\r\n• Manage multiple connections with individual names\r\n• Connection testing with clear error messages\r\n• Automatic, secure storage of credentials (Android Keystore)\r\n• File browser: Navigate through the share directory tree, display of name, type, size, and modification date\r\n• Refresh view (\""Pull-to-Refresh\"")\r\n• Sorting options (name, date, size)\r\n• File operations: Download, upload, delete, rename\r\n• Display file properties\r\n• Dark/Light Mode (system default)\r\n\r\nSecurity & Privacy:\r\n• No telemetry or third-party connections\r\n• No unencrypted storage of sensitive data\r\n• Minimal permissions (only network and access to user-selected storage locations)\r\n\r\nSambaLite is the open-source Samba client for Android that many have wanted for years: Modern, lean, secure, without unnecessary features, but with everything needed for practical access to SMB shares."",",4618.0,0.0,0.0,0.0,2025-07-02 00:00:00,,,2025-07
Hrobot cleaner,1,"Hrobot cleaner aims at creating a smart & clean home environment for users, and a more “smart\"" home life.\n1. APP distant control, easy operation anywhere\n2. Reservation for cleaning, time-saving & worry-free\n3. Easy & quick connection to devices\n4. A variety of cleaning modes for choices\n5. Adjustable suction power and mop level"",",,,,,2020-08-18T07:00:00Z,2020-08-19T03:05:01Z,,2020-08
ROPVACNIC,1,"1.Set different cleaning modes to meet your specific cleaning needs.
2.One key to start or recharge, and even PIN and Go, so you can control as you wish.
3. See the cleaning status, cleaning time, remaining power, consumables life and even find the robot, so you can better know your robot anytime, anywhere.
4. Schedule cleaning time to automatically complete cleaning tasks even when you are not at home.",,2.375,40.0,40.0,2023-04-10T07:00:00Z,2025-03-31T07:59:29Z,1.0.1,2023-04
Neatsvor Home,1,"Neatsvor Home is an APP for controlling smart home appliances. Neatsvor is committed to providing users with home intelligence
cleaning products. You can complete the functional control of the robot through the APP, smart life, from now on",,4.8,10.0,10.0,2023-05-19T07:00:00Z,2025-10-23T10:15:42Z,1.6.1,2023-05
Kärcher Home Robots,1,,,,,,,,,
NoesisHome,1,"NoesisHome App is the mobile application used to connect with the intelligent robot products developed by LeTu. It supports the company's floor-mopping robot products. The app enables you to pair the robot, control its functions, and view additional device statuses that may not be displayed on the docking station.



By connecting to the NoesisHome App, you can easily unlock more features, such as:



Starting cleaning remotely: begin mopping in a mall or office from the app

Real-time cleaning progress: quickly check the cleaning progress and path

Setting restricted areas: define areas where the robot cannot enter

Adjusting water output: control the water output effectively and in real-time

Firmware updates: experience new features as soon as they are released

Online repair and feedback: enjoy worry-free after-sales support with zero distance communication

NoesisHome opens up a new chapter of intelligent living.",3296.0,,,,"Apr 7, 2023",,Varies with device,2023-04
iBoto Smart,1,"Automation of cleaning with iBoto robot vacuum cleaners is not only a way to maintain perfect cleanliness, but also an opportunity to free up time for creation, communication, love, self-development, and recreation. Be free from household chores — and the rest will be taken care of by smart iBoto robotics!",56703.0,0.0,0.0,0.0,"Jul 27, 2020",,Varies with device,2020-07
UWANT HOME,1,"UWANT is an Internet technology innovation home appliance brand focusing on the field of intelligent cleaning, integrating intelligent research and development, production and sales. With the improvement of home cleaning as the core, we continue to innovate and make breakthroughs, so that users can enjoy a clean and comfortable life in an intelligent way.
UWANT HOME App is an intelligent application that connects UWANT's robot products. You can easily and conveniently interact with the robot through your mobile phone, control the robot anytime, anywhere, view the cleaning process, and formulate cleaning tasks, opening up a new way of intelligent cleaning for you.",,5.0,3.0,3.0,2022-05-11T07:00:00Z,2025-09-28T02:21:32Z,2.10.10,2022-05
INXNI HOME,1,,,,,,,,,
Conga 8090,1,"Through RoomPlan 3.0 the robot will propose cleaning plans customized to the type of room and floor of your home.
You can connect and control the robot with your Smartphone. It allows you to select among its different cleaning modes, the suction power, the water flow level during Scrubbing mode, program it once or several times a day, check its status, battery level and cleaning history. In addition, you can view the map of your home as the robot cleans. You can save more than one map, interact with the robot and the map, restrict areas, send the robot to clean a specific area or create cleaning plans according to your home and your needs.
If you have questions or suggestions during use, you can contact us by e-mail: apps@cecotec.es",,5.0,2.0,2.0,2021-10-22T07:00:00Z,2022-04-11T15:30:05Z,1.2.0,2021-10
Mellerware,1,"Con Mellerware podrás conectar todos tus robots de limpieza a través del Wi-Fi de tu hogar a y controlarlo desde tu Smartphone. 

Incluye modos de limpieza personalizables para que puedas escoger el que mejor se adapte a tus necesidades en cada momento. Con Mellerware podrás programar tu aspirador de manera diaria o semanal y encontrar tu casa siempre limpia al llegar. Además podrás modificar los parámetros de potencia en aquellas ocasiones en las que necesites un plus de potencia. 

Mellerware llega para que puedas disfrutar de tu tiempo libre.",,0.0,0.0,0.0,2021-09-08T07:00:00Z,2025-06-11T20:10:51Z,1.1.1,2021-09
Honor Choice,1,"We provide you with the Smart Bands Guide application, through which you can find good information about how to set up Honor Choice Earbuds X and connect them to your Android phone easily\r\n\r\nFind out more information on how to use the watch Honor Choice Earbuds X\r\nDownload the guide app Honor Choice Earbuds X Our mobile app lets you know what you're wondering about.\r\n\r\nSections of the application: -\r\n_ Are you looking for the specifications of the Honor Choice Earbuds X headphones guide\r\n_ Are you looking for Honor Choice Earbuds X Guide User Guide\r\n_ Are you looking for Honor Choice Earbuds X guide images\r\n_ Are you looking for Honor Choice Earbuds X design guide\r\n_ Are you looking for Honor Choice Earbuds X headphones guide performance\r\n\r\nOpen the appHonor Choice Earbuds X on your phone. Click \""Enable Permissions\"" to allow SmartWatch Sync to access your notifications.\r\n  You will be directed to the Notification Settings screen on your phone, where you have to launch Tumblr to Honor Choice Earbuds X After you are done with the settings, tap Back to be redirected to the Notifier app.\r\n\r\nYou can find out frequently asked questions about the watch:-\r\n- Are you looking for a description of the type of smartwatch Honor Choice Earbuds X?\r\n- Are you looking for an Amazon boat?\r\n- Are you looking for pictures Honor Choice Earbuds X?\r\n- Looking for a smartwatch reviewHonor Choice Earbuds X?\r\n- Are you looking for features and details of some kind Honor Choice Earbuds X\r\n- Do you know what are the advantages Honor Choice Earbuds X\r\n\r\nApplication guide provides you Honor Choice Earbuds X many information for guide Honor Choice Earbuds X\r\n\r\nMost comprehensive smartwatch app features:\r\nHonor Choice Earbuds X reconsidering.\r\nHonor Choice Earbuds X Dump in a video!\r\n- Pros and Cons Honor Choice Earbuds X .\r\n\r\nAbout similar and similar searches:\r\nhonor choice earbuds x3 lite\r\nhonor choice earbuds x3 price\r\nhonor choice earbuds x3 lite price in india\r\nhonor choice earbuds x3 lite review\r\nhonor choice earbuds x3 review\r\nhonor choice earbuds x3 lite price in bangladesh\r\nhonor choice earbuds x price in pakistan\r\nhonor choice earbuds x price in ksa\r\nhonor choice earbuds x cover\r\nhonor choice earbuds x price in bangladesh\r\nhonor choice earbuds x price in uae\r\nhonor choice earbuds x app\r\n\r\nEvacuation response:\r\nQuick Review We do not take ownership of any product unless you know where to find the app when you download it\r\nThese images and names are not endorsed by anyone. They are the owners and the images are used for cosmetic and explanatory purposes only and we do not imply any violation of the standards of google play nor also the manufacturer"",",8841.0,0.0,0.0,0.0,2023-07-31 00:00:00,,,2023-07
Intelligent Robot Vacuums,1,"By connecting to your intelligent robot vacuums, you can:
• Start, pause or stop cleaning
• Set a regular cleaning schedule
• Set up powerful suction and spot cleaning
• Share your intelligent robot vacuums with your friends via multiple accounts
• Access instruction manuals, video tutorials and FAQs, and contact customer service",,1.0,2.0,2.0,2023-05-22T07:00:00Z,2024-05-07T11:46:10Z,1.1.3,2023-05
Romy Robot,1,"Stay connected! The ROMY app keeps you up to date on what your robot is up to. Access a fully functional map after the first exploration run thanks to the fastest map generation on the market. Set a cleaning schedule, smart no-go areas and cleaning reminders to smarten up your cleaning routine with ROMY. \r\n\r\nACCESS THE FULL FUNCTIONALITY OF YOUR ROBOT WITH THE ROMY APP\r\n• Immediately edit and customize the map after the first exploration run\r\n• Clean your entire home or focus on specific rooms and areas\r\n• Create restricted no-go areas\r\n• Use the spot cleaning function for a quick clean of small areas\r\n• Let ROMY suggest smart no-go areas when it gets stuck in one place several times\r\n• Set a cleaning schedule for automatic cleaning with the calendar function\r\n• Start ROMY while you're on the go\r\n• Stay up to date with push notifications\r\n• Allow smart suggestions, so ROMY can automatically remind you if you haven't cleaned a room for a while \r\n• Stay fully informed on ROMY's estimated cleaning times\r\n• Find out which areas ROMY has already cleaned with the visible cleaning path updated in real time\r\n• Create maps for up to 3 different areas (floors)\r\n• Define the floor type for rooms or areas – carpet will be automatically left out during a wet cleaning run\r\n\r\nA 5 MINUTE JOB INSTEAD OF 2 HOURS OF NOISE\r\nThe robot's smart navigation reacts to obstacles in real time and updates the cleaning path and map during every run. Create convenient special cleaning zones for areas that you want to clean regularly. For example, you could send ROMY to do a quick vacuum under the dining table after every meal. \r\n\r\nDO YOU HAVE CHILDREN OR PETS? THEN YOU KNOW ALL ABOUT LITTLE ACCIDENTS. \r\nSend ROMY exactly where it needs to go using the spot clean function. Chaos in front of the food bowl, but the rest of the room is fine? Let ROMY vacuum with pinpoint accuracy without having to clean the whole room. \r\nNO-GO AREAS AND SMART NO-GO AREAS\r\nCreate areas that you want ROMY to avoid when cleaning. The tangled cables under your desk, for example. If ROMY experiences difficulties in a certain area, it will suggest creating a smart no-go area. \r\nNO SURPRISES – WE HAVE A PLAN\r\nAlways stay in the know about cleaning schedules, progress, and the remaining duration of the cleaning run. Assuming there are three rooms to clean in your apartment, ROMY will tell you in which order it will clean them and how long it will take. \r\nFLEXIBLE AND RELIABLE\r\nEveryone's out? Then now is the perfect time to let ROMY work for you. Or use the app to set fixed days, times, rooms and areas to clean. ROMY cleans autonomously and independently. Are you expecting a spontaneous visit? No problem: use the app to tell ROMY to clean while you are on the go and return to find the job done. \r\nSUPER STRONG OR SUPER SILENT\r\nSuper silent, silent, normal or intensive: ROMY has four different cleaning intensities that can be assigned to individual rooms or areas. \r\nCARPETS LIKE IT DRY\r\nAssign a floor type to rooms or areas in the app. ROMY recognizes when its water tank is attached and automatically avoids areas that have been defined as carpet. \r\nROMY KEEPS YOU UPDATED\r\nWhether it has finished cleaning or the dust container needs to be emptied – ROMY always reports back to you with push notifications on your phone. For lovers of detail, the app gives you an exact record of the total area cleaned, cleaning time, trips, and distance driven."",",1345.0,,,,2022-04-05 00:00:00,,,2022-04
RVC 8000,1,"Mit der App für Ihren Saugroboter RVC 8000 erleichtern Sie sich die Bedienung Ihres neuen Geräts.

Sie können Sie folgende Funktionen nutzen:

• Manuell bedienen wie mit einer Fernbedienung – auch von extern;

• Saug-Modi wählen und starten;

• Tagesindividuelle Saugtermine festlegen;

• Roboter  mit anderen Benutzern teilen.

• Roboter suchen",544.0,0.0,0.0,0.0,"Feb 1, 2021",,Varies with device,2021-02
